time	signal1	signal2	signal3	subtr1	subtr2	subtr3
24.607	23.4512	4.63743	1.08341	22.1276	5.0412300000000005	1.40863
24.618	20.98743	4.10287	0.95321	19.66948	4.49674	1.2869
24.629	18.79196	3.63155	0.8333	17.480529999999998	4.03607	1.1777
24.64	16.86317	3.20517	0.73648	15.55551	3.6366099999999997	1.08282
24.651	15.18365	2.82971	0.65764	13.87983	3.25285	1.00227
24.662	13.7372	2.53067	0.58526	12.44074	2.94126	0.92298
24.673	12.49451	2.28262	0.51959	11.20349	2.7037500000000003	0.8569899999999999
24.684	11.42625	2.05216	0.45263	10.13927	2.4635700000000003	0.7965899999999999
24.695	10.51118	1.84076	0.39884	9.230229999999999	2.2321299999999997	0.73696
24.706	9.72649	1.64484	0.35994	8.45123	2.0297300000000003	0.69263
24.717	9.05314	1.49721	0.32825	7.783170000000001	1.89222	0.65937
24.728	8.47198	1.38094	0.2911	7.2084600000000005	1.7915100000000002	0.61646
24.739	7.96686	1.26859	0.25952	6.708819999999999	1.68375	0.5831
24.75	7.52796	1.16989	0.24017	6.27437	1.59449	0.5668599999999999
24.761	7.13838	1.09448	0.22054	5.889049999999999	1.5345099999999998	0.5503899999999999
24.772	6.79042	1.03172	0.19541	5.54513	1.4694099999999999	0.52523
24.783	6.47739	0.96809	0.17295	5.235799999999999	1.3966	0.51092
24.794	6.18626	0.89572	0.15411	4.94703	1.32891	0.50016
24.805	5.91255	0.81355	0.13244	4.67635	1.24589	0.47000000000000003
24.816	5.65021	0.75186	0.12264	4.4177800000000005	1.16889	0.45191000000000003
24.827	5.39909	0.70188	0.12012	4.16861	1.1126399999999999	0.4494
24.838	5.16187	0.64729	0.11445	3.93189	1.05899	0.44888
24.849	4.93624	0.60004	0.11184	3.70557	1.02323	0.44392
24.86	4.72321	0.5431	0.10346	3.49371	0.97997	0.43401
24.871	4.52639	0.4835	0.09507	3.2994700000000003	0.91005	0.42983
24.882	4.347	0.43202	0.08845	3.12415	0.84935	0.43008
24.893	4.18659	0.41353	0.06989	2.9672899999999998	0.83612	0.40835
24.904	4.04489	0.39368	0.06498	2.8279299999999994	0.82465	0.40381
24.915	3.9275	0.36479	0.05287	2.7111	0.7877000000000001	0.39396
24.926	3.83129	0.34625	0.04582	2.6208299999999998	0.75071	0.37676
24.937	3.74801	0.3417	0.04325	2.54147	0.74656	0.37796
24.948	3.68006	0.33548	0.03728	2.47835	0.74712	0.37439999999999996
24.959	3.62475	0.30884	0.03336	2.42359	0.7337899999999999	0.36756
24.97	3.57918	0.30325	0.0361	2.3809899999999997	0.7205600000000001	0.36891
24.981	3.53806	0.28429	0.03026	2.34153	0.70512	0.37113
24.992	3.50039	0.26748	0.02681	2.30474	0.69904	0.36754
25.003	3.46531	0.27217	0.02134	2.2721600000000004	0.7094100000000001	0.35182
25.014	3.43178	0.26443	0.01655	2.2382099999999996	0.70051	0.34850000000000003
25.025	3.39719	0.24322	-0.00165	2.2054300000000002	0.67887	0.33503
25.036	3.35808	0.24185	-0.00273	2.16702	0.66852	0.33446
25.047	3.32029	0.23978	0.00127	2.1281299999999996	0.6509400000000001	0.34052
25.058	3.28003	0.23098	-0.00413	2.0877600000000003	0.66515	0.34295
25.069	3.24301	0.2284	0.00397	2.05231	0.65944	0.35622
25.08	3.20922	0.2083	0.00562	2.02219	0.6407	0.34822000000000003
25.091	3.17474	0.20461	0.00459	1.9881799999999998	0.63355	0.33599999999999997
25.102	3.14353	0.20704	0.0038	1.9584100000000002	0.63098	0.32801
25.113	3.11294	0.21922	-0.00457	1.92818	0.63746	0.32996
25.124	3.08432	0.21215	-0.0043	1.89768	0.63873	0.33609
25.135	3.05379	0.19253	-0.00819	1.8687799999999999	0.60905	0.32188
25.146	3.01954	0.17179	-0.02037	1.8325500000000001	0.57341	0.29604
25.157	2.98947	0.14992	-0.01167	1.80541	0.55443	0.31133
25.168	2.96076	0.15367	-0.00941	1.77569	0.56272	0.30755000000000005
25.179	2.9375	0.16203	-0.00767	1.75229	0.58735	0.31509
25.19	2.92009	0.15677	-0.02023	1.7310400000000001	0.61159	0.30479999999999996
25.201	2.91527	0.14214	-0.01885	1.72422	0.5862499999999999	0.30887000000000003
25.212	2.92289	0.15907	-0.01344	1.7321600000000001	0.59812	0.31765
25.223	2.94801	0.13973	-0.0043	1.75954	0.57807	0.32650999999999997
25.234	2.99558	0.14848	-0.01454	1.8093199999999998	0.58092	0.31701
25.245	3.06473	0.16221	-0.00725	1.87808	0.58667	0.32142000000000004
25.256	3.15182	0.17614	-0.00364	1.9672199999999997	0.60358	0.31980000000000003
25.267	3.25598	0.18624	0.00563	2.0701	0.61153	0.33774000000000004
25.278	3.36717	0.21794	0.02207	2.1815	0.6420399999999999	0.36772
25.289	3.48124	0.2276	0.03947	2.2959300000000002	0.65708	0.38896000000000003
25.3	3.58902	0.23973	0.05527	2.40661	0.65334	0.40264
25.311	3.68082	0.24846	0.06942	2.4987000000000004	0.66196	0.42163999999999996
25.322	3.74367	0.24642	0.07397	2.56276	0.67142	0.42901
25.333	3.77073	0.24816	0.06	2.59225	0.67316	0.41004999999999997
25.344	3.75329	0.23475	0.04179	2.5734399999999997	0.65049	0.38486
25.355	3.70107	0.21177	0.03383	2.51942	0.61953	0.37227
25.366	3.61612	0.20627	0.03147	2.43325	0.6188199999999999	0.37081
25.377	3.50345	0.19482	0.02622	2.31968	0.60652	0.37445
25.388	3.37007	0.16232	0.01323	2.18731	0.59012	0.36548
25.399	3.22369	0.13813	0.00509	2.04375	0.57068	0.34746
25.41	3.07958	0.13865	-0.00113	1.89983	0.5672900000000001	0.34341
