time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	nornmalized1	nornmalized2	nornmalized3
2.706	0.39599	0.03065	0.04627	0.52318	0.36886	0.19516	0.00219	0.02073	0.08536
2.717	0.39267	0.04017	0.06069	0.52052	0.35509	0.20960	0.00219	0.02059	0.08589
2.728	0.38678	0.05324	0.06293	0.51628	0.36606	0.21766	0.00218	0.02070	0.08619
2.739	0.38190	0.05621	0.05156	0.51457	0.37005	0.20042	0.00217	0.02074	0.08555
2.750	0.37714	0.05181	0.04544	0.50993	0.36225	0.19895	0.00216	0.02067	0.08550
2.761	0.36973	0.04959	0.04236	0.49867	0.36036	0.19901	0.00214	0.02065	0.08550
2.772	0.36583	0.03752	0.04274	0.49630	0.35680	0.19542	0.00213	0.02061	0.08537
2.783	0.36407	0.02646	0.04823	0.49620	0.36189	0.19933	0.00213	0.02066	0.08551
2.794	0.35942	0.04449	0.04906	0.49547	0.37654	0.19891	0.00213	0.02081	0.08550
2.805	0.35532	0.04354	0.05056	0.49279	0.36569	0.20579	0.00212	0.02070	0.08575
2.816	0.35219	0.04880	0.05512	0.48946	0.36101	0.21199	0.00211	0.02065	0.08598
2.827	0.34747	0.04919	0.05540	0.48297	0.37999	0.20882	0.00210	0.02085	0.08586
2.838	0.34431	0.04441	0.05664	0.48227	0.39034	0.20603	0.00210	0.02095	0.08576
2.849	0.34056	0.04136	0.06387	0.48131	0.39683	0.20838	0.00210	0.02102	0.08585
2.860	0.33722	0.05583	0.05612	0.47751	0.41881	0.20687	0.00209	0.02124	0.08579
2.871	0.33531	0.06856	0.05305	0.47734	0.43122	0.19443	0.00209	0.02136	0.08533
2.882	0.33129	0.05676	0.04353	0.47558	0.41234	0.18663	0.00208	0.02117	0.08505
2.893	0.32926	0.03553	0.03814	0.47654	0.38437	0.18183	0.00208	0.02089	0.08487
2.904	0.32551	0.02712	0.04022	0.47526	0.37950	0.19023	0.00208	0.02084	0.08518
2.915	0.32247	0.02597	0.05315	0.48030	0.36244	0.19552	0.00209	0.02067	0.08537
2.926	0.31865	0.03134	0.05696	0.48504	0.37064	0.19505	0.00210	0.02075	0.08536
2.937	0.31523	0.02451	0.05677	0.48974	0.37417	0.19079	0.00212	0.02079	0.08520
2.948	0.30798	0.03097	0.06073	0.49307	0.37087	0.19688	0.00212	0.02075	0.08542
2.959	0.30367	0.02876	0.05459	0.50128	0.36480	0.19880	0.00214	0.02069	0.08549
2.970	0.29870	0.03011	0.04912	0.51056	0.35594	0.20294	0.00216	0.02060	0.08565
2.981	0.28742	0.05114	0.03576	0.50923	0.38254	0.18576	0.00216	0.02087	0.08501
2.992	0.27562	0.05731	0.04038	0.50561	0.37720	0.18876	0.00215	0.02082	0.08512
3.003	0.26630	0.04531	0.04517	0.50036	0.36856	0.20202	0.00214	0.02073	0.08561
3.014	0.25612	0.04873	0.05913	0.49246	0.37916	0.22053	0.00212	0.02084	0.08630
3.025	0.24629	0.06324	0.06502	0.48454	0.39224	0.22224	0.00210	0.02097	0.08636
3.036	0.24049	0.05690	0.07732	0.47684	0.39270	0.23566	0.00208	0.02097	0.08686
